2022-07-22 18:46:23,777 INFO    Thread-15 :3466 [upload_job.py:push():96] Uploaded file /home/ebetcel/.cache/wandb/artifacts/obj/md5/1e/35e222ee23570b8dcda15da1cdf238
2022-07-22 18:46:25,020 INFO    SenderThread:3466 [sender.py:send_request_log_artifact():1009] logged artifact source-afqax1o1 - {'id': 'QXJ0aWZhY3Q6MTYxNzgxMjg1', 'digest': 'd03aefcba2d83c9bd37cb003d44352f3', 'state': 'PENDING', 'aliases': [], 'artifactSequence': {'id': 'QXJ0aWZhY3RDb2xsZWN0aW9uOjI0NTk1MTk5', 'latestArtifact': None}, 'version': 'latest'}
2022-07-22 18:46:25,020 DEBUG   SenderThread:3466 [sender.py:send():236] send: stats
2022-07-22 18:46:25,021 DEBUG   SenderThread:3466 [sender.py:send_request():250] send_request: log_artifact
2022-07-22 18:46:25,645 INFO    SenderThread:3466 [sender.py:send_request_log_artifact():1009] logged artifact source-afqax1o1 - {'id': 'QXJ0aWZhY3Q6MTYxNzgxMjg1', 'digest': 'd03aefcba2d83c9bd37cb003d44352f3', 'state': 'COMMITTED', 'aliases': [{'artifactCollectionName': 'source-afqax1o1', 'alias': 'latest'}, {'artifactCollectionName': 'source-afqax1o1', 'alias': 'v0'}], 'artifactSequence': {'id': 'QXJ0aWZhY3RDb2xsZWN0aW9uOjI0NTk1MTk5', 'latestArtifact': {'id': 'QXJ0aWZhY3Q6MTYxNzgxMjg1', 'versionIndex': 0}}, 'version': 'v0'}
2022-07-22 18:46:25,646 DEBUG   SenderThread:3466 [sender.py:send():236] send: stats
2022-07-22 18:46:27,142 DEBUG   HandlerThread:3466 [handler.py:handle_request():140] handle_request: resume
2022-07-22 18:46:27,142 INFO    HandlerThread:3466 [handler.py:handle_request_resume():686] starting system metrics thread
2022-07-22 18:46:27,604 DEBUG   HandlerThread:3466 [handler.py:handle_request():140] handle_request: log_artifact
2022-07-22 18:46:27,605 DEBUG   HandlerThread:3466 [handler.py:handle_request():140] handle_request: pause
2022-07-22 18:46:27,605 INFO    HandlerThread:3466 [handler.py:handle_request_pause():695] stopping system metrics thread
2022-07-22 18:46:27,605 DEBUG   SenderThread:3466 [sender.py:send_request():250] send_request: log_artifact
2022-07-22 18:46:28,301 INFO    SenderThread:3466 [sender.py:send_request_log_artifact():1009] logged artifact source-afqax1o1 - {'id': 'QXJ0aWZhY3Q6MTYxNzgxMjg1', 'digest': 'd03aefcba2d83c9bd37cb003d44352f3', 'state': 'COMMITTED', 'aliases': [{'artifactCollectionName': 'source-afqax1o1', 'alias': 'latest'}, {'artifactCollectionName': 'source-afqax1o1', 'alias': 'v0'}], 'artifactSequence': {'id': 'QXJ0aWZhY3RDb2xsZWN0aW9uOjI0NTk1MTk5', 'latestArtifact': {'id': 'QXJ0aWZhY3Q6MTYxNzgxMjg1', 'versionIndex': 0}}, 'version': 'v0'}
2022-07-22 18:46:28,301 DEBUG   SenderThread:3466 [sender.py:send():236] send: stats
2022-07-22 18:46:28,606 DEBUG   HandlerThread:3466 [handler.py:handle_request():140] handle_request: resume
2022-07-22 18:46:28,606 INFO    HandlerThread:3466 [handler.py:handle_request_resume():686] starting system metrics thread
2022-07-22 18:46:28,923 DEBUG   HandlerThread:3466 [handler.py:handle_request():140] handle_request: log_artifact
2022-07-22 18:46:28,923 DEBUG   SenderThread:3466 [sender.py:send_request():250] send_request: log_artifact
2022-07-22 18:46:28,925 DEBUG   HandlerThread:3466 [handler.py:handle_request():140] handle_request: pause
2022-07-22 18:46:28,925 INFO    HandlerThread:3466 [handler.py:handle_request_pause():695] stopping system metrics thread
2022-07-22 18:46:29,558 INFO    SenderThread:3466 [sender.py:send_request_log_artifact():1009] logged artifact source-afqax1o1 - {'id': 'QXJ0aWZhY3Q6MTYxNzgxMjg1', 'digest': 'd03aefcba2d83c9bd37cb003d44352f3', 'state': 'COMMITTED', 'aliases': [{'artifactCollectionName': 'source-afqax1o1', 'alias': 'latest'}, {'artifactCollectionName': 'source-afqax1o1', 'alias': 'v0'}], 'artifactSequence': {'id': 'QXJ0aWZhY3RDb2xsZWN0aW9uOjI0NTk1MTk5', 'latestArtifact': {'id': 'QXJ0aWZhY3Q6MTYxNzgxMjg1', 'versionIndex': 0}}, 'version': 'v0'}
